,site,site_name,latitude,longitude,elevation,country,country_iso_code,site_type,site_area,date_start,date_end,network,eu_code,eoi_code,observation_count,data_source
1,ad0942a,Fixa,42.509694,1.539138,1080,andorra,AD,background,urban,31/12/2011 23:00,14/12/2020 02:00,NET-AD001A,STA-AD0942A,AD0942A,461609,aqer:e1a; aqer:e2a
2,ad0944a,Fixa oz,42.516944,1.56525,1637,andorra,AD,background,rural,31/12/2011 23:00,14/12/2020 01:00,NET-AD001A,STA-AD0944A,AD0944A,68370,aqer:e1a; aqer:e2a
3,ad0945a,Estacional oz Envalira,42.534883,1.716986,2515,andorra,AD,background,rural,26/04/2012 10:00,08/10/2020 13:00,NET-AD001A,STA-AD0945A,AD0945A,28986,aqer:e1a; aqer:e2a
4,al0201a,Tirana Center,41.330269,19.821772,162,albania,AL,traffic,urban,01/01/2011 00:00,31/12/2012 06:00,NET-AL002A,STA-AL0201A,STA-AL0201A,145816,airbase
5,al0202a,Tirana IPH,41.3456,19.851667,207,albania,AL,traffic,suburban,01/01/2011 00:00,31/12/2012 06:00,NET-AL002A,STA-AL0202A,STA-AL0202A,119022,airbase
6,al0203a,Korca,40.62593,20.78018,848,albania,AL,background,suburban,08/01/2014 18:00,31/12/2018 21:00,NET-AL001A,STA-AL0203A,AL0203A,217741,aqer:e1a
7,al0204a,Vlora,40.40309,19.4862,25,albania,AL,background,urban,01/01/2014 00:00,31/12/2018 21:00,NET-AL001A,STA-AL0204A,AL0204A,206319,aqer:e1a
8,al0205a,Durres,41.3199,19.4492,1,albania,AL,traffic,urban,31/03/2014 15:00,31/12/2018 21:00,NET-AL001A,STA-AL0205A,AL0205A,194045,aqer:e1a
9,al0206a,Shkoder,42.3139,19.52342,13,albania,AL,background,urban,19/02/2014 21:00,31/12/2018 21:00,NET-AL001A,STA-AL0206A,AL0206A,163799,aqer:e1a
10,al0207a,Elbasan,41.11098,20.0817,150,albania,AL,traffic,urban,09/04/2014 12:00,31/12/2018 21:00,NET-AL001A,STA-AL0207A,AL0207A,159343,aqer:e1a
